"Epochs : 200, mini batch size : 50, alpha 0.2, epsilon : 0.0005","[array([91.55696398]), array([[ 2.53390472],
       [-0.01085936],
       [-0.00947216],
       ...,
       [-1.08573453],
       [-0.82501574],
       [-1.03634995]]), array([8.90603679])]"
"Epochs : 200, mini batch size : 100, alpha 0.2, epsilon : 0.0005","[array([98.17044544]), array([[ 2.31344255],
       [-0.09727897],
       [-0.0891288 ],
       ...,
       [-1.03862759],
       [-0.74556988],
       [-0.99666968]]), array([4.96901518])]"
"Epochs : 200, mini batch size : 200, alpha 0.2, epsilon : 0.0005","[array([105.97998356]), array([[ 2.0844065 ],
       [-0.24180675],
       [-0.20983011],
       ...,
       [-0.98181737],
       [-0.6773579 ],
       [-0.95705916]]), array([2.67361443])]"
"Epochs : 400, mini batch size : 10, alpha 0.2, epsilon : 0.0005","[array([84.24046373]), array([[ 2.26109338],
       [ 0.29945023],
       [ 0.18789774],
       ...,
       [-0.65382419],
       [-0.93363361],
       [-1.00664638]]), array([34.59379159])]"
"Epochs : 400, mini batch size : 50, alpha 0.2, epsilon : 0.0005","[array([86.29279035]), array([[ 2.80654354],
       [-0.02226248],
       [-0.01150192],
       ...,
       [-1.12380625],
       [-0.94278302],
       [-1.12977373]]), array([15.12232477])]"
"Epochs : 400, mini batch size : 100, alpha 0.2, epsilon : 0.0005","[array([91.74291076]), array([[ 2.56409049],
       [-0.01776255],
       [-0.01510945],
       ...,
       [-1.09977384],
       [-0.83414966],
       [-1.04984716]]), array([8.89778495])]"
"Epochs : 400, mini batch size : 200, alpha 0.2, epsilon : 0.0005","[array([97.9840338]), array([[ 2.32123764],
       [-0.09858218],
       [-0.09013077],
       ...,
       [-1.04191594],
       [-0.74773681],
       [-1.00019753]]), array([4.96759857])]"
"Epochs : 500, mini batch size : 10, alpha 0.2, epsilon : 0.0005","[array([74.90234483]), array([[ 2.20991306],
       [ 0.33808499],
       [ 0.21818578],
       ...,
       [-0.6153753 ],
       [-0.93153998],
       [-0.98807809]]), array([36.25584224])]"
"Epochs : 500, mini batch size : 50, alpha 0.2, epsilon : 0.0005","[array([82.44063074]), array([[ 2.91114075],
       [-0.04445851],
       [-0.02705846],
       ...,
       [-1.13026872],
       [-0.99174685],
       [-1.17826858]]), array([17.6466652])]"
"Epochs : 500, mini batch size : 100, alpha 0.2, epsilon : 0.0005","[array([88.92937437]), array([[ 2.65329988],
       [-0.01251108],
       [-0.00735941],
       ...,
       [-1.11756327],
       [-0.86939177],
       [-1.07522945]]), array([10.62664343])]"
"Epochs : 500, mini batch size : 200, alpha 0.2, epsilon : 0.0005","[array([95.49997059]), array([[ 2.40212423],
       [-0.06328164],
       [-0.05884518],
       ...,
       [-1.06299227],
       [-0.77439572],
       [-1.01582069]]), array([6.02128529])]"
"Epochs : 100, mini batch size : 10, alpha 0.4, epsilon : 0.0005","[array([81.32406399]), array([[ 1.92495022],
       [ 0.24710563],
       [ 0.16684459],
       ...,
       [-0.7129047 ],
       [-0.69661418],
       [-0.74795256]]), array([18.03383534])]"
"Epochs : 100, mini batch size : 50, alpha 0.4, epsilon : 0.0005","[array([98.15384993]), array([[ 2.26860586],
       [-0.08763939],
       [-0.08139523],
       ...,
       [-1.0151709 ],
       [-0.73015282],
       [-0.97497827]]), array([4.97480804])]"
"Epochs : 100, mini batch size : 100, alpha 0.4, epsilon : 0.0005","[array([106.22976088]), array([[ 2.07342547],
       [-0.23919155],
       [-0.20773137],
       ...,
       [-0.97589404],
       [-0.67316457],
       [-0.95111676]]), array([2.67443838])]"
"Epochs : 100, mini batch size : 200, alpha 0.4, epsilon : 0.0005","[array([115.66148923]), array([[ 1.89461855],
       [-0.38069238],
       [-0.32365473],
       ...,
       [-0.93889486],
       [-0.62786023],
       [-0.92300416]]), array([1.40448564])]"
"Epochs : 200, mini batch size : 10, alpha 0.4, epsilon : 0.0005","[array([76.09376173]), array([[ 1.73752284],
       [ 0.3815607 ],
       [ 0.2423688 ],
       ...,
       [-0.57207407],
       [-0.70751468],
       [-0.72384143]]), array([27.2070315])]"
"Epochs : 200, mini batch size : 50, alpha 0.4, epsilon : 0.0005","[array([91.51371616]), array([[ 2.47559234e+00],
       [ 3.34150121e-03],
       [ 7.73846618e-04],
       ...,
       [-1.05689275e+00],
       [-8.06099383e-01],
       [-1.00888462e+00]]), array([8.91750104])]"
"Epochs : 200, mini batch size : 100, alpha 0.4, epsilon : 0.0005","[array([98.31590367]), array([[ 2.29863717],
       [-0.09389879],
       [-0.08644386],
       ...,
       [-1.03096681],
       [-0.74050716],
       [-0.98930518]]), array([4.97074312])]"
"Epochs : 200, mini batch size : 200, alpha 0.4, epsilon : 0.0005","[array([106.18223289]), array([[ 2.08082126],
       [-0.24087335],
       [-0.20904875],
       ...,
       [-0.97989904],
       [-0.67608661],
       [-0.95518514]]), array([2.67388562])]"
"Epochs : 400, mini batch size : 10, alpha 0.4, epsilon : 0.0005","[array([84.00719628]), array([[ 1.56308893],
       [ 0.49838608],
       [ 0.31448872],
       ...,
       [-0.47123131],
       [-0.68835973],
       [-0.72445938]]), array([35.12618803])]"
"Epochs : 400, mini batch size : 50, alpha 0.4, epsilon : 0.0005","[array([86.10987591]), array([[ 2.69295523],
       [ 0.01224184],
       [ 0.01139442],
       ...,
       [-1.07230336],
       [-0.90825693],
       [-1.07875758]]), array([15.15627607])]"
"Epochs : 400, mini batch size : 100, alpha 0.4, epsilon : 0.0005","[array([91.83102667]), array([[ 2.5342791 ],
       [-0.01046725],
       [-0.00984732],
       ...,
       [-1.08502591],
       [-0.82448812],
       [-1.03580553]]), array([8.90355857])]"
"Epochs : 400, mini batch size : 200, alpha 0.4, epsilon : 0.0005","[array([98.17027704]), array([[ 2.31379188],
       [-0.09688153],
       [-0.08878037],
       ...,
       [-1.03806426],
       [-0.74519132],
       [-0.996494  ]]), array([4.96846189])]"
"Epochs : 500, mini batch size : 10, alpha 0.4, epsilon : 0.0005","[array([74.73580623]), array([[ 1.5306707 ],
       [ 0.51999988],
       [ 0.33362656],
       ...,
       [-0.46035717],
       [-0.68351088],
       [-0.72147062]]), array([36.76480403])]"
"Epochs : 500, mini batch size : 50, alpha 0.4, epsilon : 0.0005","[array([82.24873459]), array([[ 2.77056777e+00],
       [ 1.65430164e-03],
       [ 2.92324071e-03],
       ...,
       [-1.06910760e+00],
       [-9.49796462e-01],
       [-1.11575399e+00]]), array([17.69286914])]"
"Epochs : 500, mini batch size : 100, alpha 0.4, epsilon : 0.0005","[array([88.99977975]), array([[ 2.61610651e+00],
       [-2.81645796e-03],
       [-5.79896518e-04],
       ...,
       [-1.09956187e+00],
       [-8.57591962e-01],
       [-1.05800576e+00]]), array([10.63500242])]"
"Epochs : 500, mini batch size : 200, alpha 0.4, epsilon : 0.0005","[array([95.67831964]), array([[ 2.39275567],
       [-0.06114676],
       [-0.057197  ],
       ...,
       [-1.05820414],
       [-0.77124125],
       [-1.01124063]]), array([6.02256229])]"
"Epochs : 100, mini batch size : 10, alpha 0.8, epsilon : 0.0005","[array([81.28137113]), array([[ 1.34404175],
       [ 0.38104361],
       [ 0.26017848],
       ...,
       [-0.46421694],
       [-0.50453771],
       [-0.49459327]]), array([18.3726503])]"
"Epochs : 100, mini batch size : 50, alpha 0.8, epsilon : 0.0005","[array([98.27950283]), array([[ 2.21136261],
       [-0.07465843],
       [-0.07107295],
       ...,
       [-0.98558339],
       [-0.7105724 ],
       [-0.94653241]]), array([4.98163656])]"
"Epochs : 100, mini batch size : 100, alpha 0.8, epsilon : 0.0005","[array([106.57683251]), array([[ 2.05920936],
       [-0.23549304],
       [-0.20463445],
       ...,
       [-0.96828874],
       [-0.66812454],
       [-0.94368804]]), array([2.67552151])]"
"Epochs : 100, mini batch size : 200, alpha 0.8, epsilon : 0.0005","[array([116.08057637]), array([[ 1.8911987 ],
       [-0.3796276 ],
       [-0.32274757],
       ...,
       [-0.93700961],
       [-0.62661787],
       [-0.92114674]]), array([1.40467597])]"
"Epochs : 200, mini batch size : 10, alpha 0.8, epsilon : 0.0005","[array([76.35012291]), array([[ 1.15493031],
       [ 0.4897292 ],
       [ 0.32462214],
       ...,
       [-0.3688786 ],
       [-0.49331344],
       [-0.47374494]]), array([27.79563687])]"
"Epochs : 200, mini batch size : 50, alpha 0.8, epsilon : 0.0005","[array([91.41481577]), array([[ 2.36395041],
       [ 0.03018266],
       [ 0.02016878],
       ...,
       [-1.00173537],
       [-0.769826  ],
       [-0.95636842]]), array([8.94007171])]"
"Epochs : 200, mini batch size : 100, alpha 0.8, epsilon : 0.0005","[array([98.59149034]), array([[ 2.26935792],
       [-0.08723216],
       [-0.08114662],
       ...,
       [-1.01582138],
       [-0.73049427],
       [-0.97474582]]), array([4.97418644])]"
"Epochs : 200, mini batch size : 200, alpha 0.8, epsilon : 0.0005","[array([106.58178829]), array([[ 2.07367136],
       [-0.23901274],
       [-0.20749112],
       ...,
       [-0.97607367],
       [-0.67355137],
       [-0.95144813]]), array([2.6744276])]"
"Epochs : 400, mini batch size : 10, alpha 0.8, epsilon : 0.0005","[array([84.87360323]), array([[ 1.0779316 ],
       [ 0.53074989],
       [ 0.35474117],
       ...,
       [-0.34056712],
       [-0.48238881],
       [-0.50653956]]), array([35.72207201])]"
"Epochs : 400, mini batch size : 50, alpha 0.8, epsilon : 0.0005","[array([85.77650536]), array([[ 2.48407075],
       [ 0.07418124],
       [ 0.05266008],
       ...,
       [-0.97777946],
       [-0.8443348 ],
       [-0.98514474]]), array([15.22214727])]"
"Epochs : 400, mini batch size : 100, alpha 0.8, epsilon : 0.0005","[array([91.98445321]), array([[ 2.47594758e+00],
       [ 3.71786693e-03],
       [ 3.91980747e-04],
       ...,
       [-1.05618484e+00],
       [-8.05568778e-01],
       [-1.00834804e+00]]), array([8.91501473])]"
"Epochs : 400, mini batch size : 200, alpha 0.8, epsilon : 0.0005","[array([98.53364673]), array([[ 2.29898399],
       [-0.09350386],
       [-0.08609791],
       ...,
       [-1.03040532],
       [-0.74012872],
       [-0.98912973]]), array([4.97018537])]"
"Epochs : 500, mini batch size : 10, alpha 0.8, epsilon : 0.0005","[array([75.21871388]), array([[ 1.07253276],
       [ 0.53669911],
       [ 0.36335089],
       ...,
       [-0.34258714],
       [-0.48173327],
       [-0.50929297]]), array([37.2751312])]"
"Epochs : 500, mini batch size : 50, alpha 0.8, epsilon : 0.0005","[array([81.91630745]), array([[ 2.51702753],
       [ 0.08246472],
       [ 0.05576447],
       ...,
       [-0.95906421],
       [-0.87337274],
       [-1.00327261]]), array([17.7818946])]"
"Epochs : 500, mini batch size : 100, alpha 0.8, epsilon : 0.0005","[array([89.11529077]), array([[ 2.54370735],
       [ 0.01590814],
       [ 0.01252697],
       ...,
       [-1.06454406],
       [-0.83459283],
       [-1.02450444]]), array([10.65155618])]"
"Epochs : 500, mini batch size : 200, alpha 0.8, epsilon : 0.0005","[array([96.02403669]), array([[ 2.37414894],
       [-0.05691443],
       [-0.0539288 ],
       ...,
       [-1.0486963 ],
       [-0.76497558],
       [-1.00214614]]), array([6.02511023])]"
"Epochs : 100, mini batch size : 10, alpha 0.1, epsilon : 0.001","[array([78.70649666]), array([[ 2.87515995e+00],
       [-1.02079072e-02],
       [-2.01558339e-03],
       ...,
       [-1.00052382e+00],
       [-1.07227296e+00],
       [-1.21109575e+00]]), array([26.56330435])]"
"Epochs : 100, mini batch size : 50, alpha 0.1, epsilon : 0.001","[array([91.18360166]), array([[ 2.56033026],
       [-0.01953249],
       [-0.01549086],
       ...,
       [-1.09883854],
       [-0.83557453],
       [-1.05236995]]), array([8.90310665])]"
"Epochs : 100, mini batch size : 100, alpha 0.1, epsilon : 0.001","[array([98.38037764]), array([[ 2.32023463],
       [-0.09942579],
       [-0.09101051],
       ...,
       [-1.04262071],
       [-0.74757942],
       [-0.99972918]]), array([4.96816194])]"
"Epochs : 100, mini batch size : 200, alpha 0.1, epsilon : 0.001","[array([106.2532446]), array([[ 2.08622447],
       [-0.24230233],
       [-0.21043672],
       ...,
       [-0.98271588],
       [-0.6778717 ],
       [-0.95821373]]), array([2.67278202])]"
"Epochs : 200, mini batch size : 10, alpha 0.1, epsilon : 0.001","[array([75.95561153]), array([[ 2.98531319e+00],
       [-2.84201678e-03],
       [ 2.60683010e-02],
       ...,
       [-8.57103562e-01],
       [-1.16350373e+00],
       [-1.29370801e+00]]), array([34.20681907])]"
"Epochs : 200, mini batch size : 50, alpha 0.1, epsilon : 0.001","[array([85.07789832]), array([[ 2.86342299],
       [-0.04134095],
       [-0.02191489],
       ...,
       [-1.15206256],
       [-0.96258238],
       [-1.15785649]]), array([15.11089774])]"
"Epochs : 200, mini batch size : 100, alpha 0.1, epsilon : 0.001","[array([91.4830153]), array([[ 2.578364  ],
       [-0.02233031],
       [-0.01836461],
       ...,
       [-1.10840061],
       [-0.83981696],
       [-1.05717637]]), array([8.89742195])]"
"Epochs : 200, mini batch size : 200, alpha 0.1, epsilon : 0.001","[array([98.20698948]), array([[ 2.32479389],
       [-0.09972142],
       [-0.0910731 ],
       ...,
       [-1.04456918],
       [-0.74962693],
       [-1.00258914]]), array([4.96748473])]"
"Epochs : 400, mini batch size : 10, alpha 0.1, epsilon : 0.001","[array([88.15095314]), array([[ 2.97145547],
       [ 0.06103932],
       [ 0.07862014],
       ...,
       [-0.66640493],
       [-1.17773253],
       [-1.19817975]]), array([37.76761191])]"
"Epochs : 400, mini batch size : 50, alpha 0.1, epsilon : 0.001","[array([83.90589325]), array([[ 3.27525344],
       [-0.16362805],
       [-0.10432345],
       ...,
       [-1.17963027],
       [-1.14788846],
       [-1.36658142]]), array([23.48646337])]"
"Epochs : 400, mini batch size : 100, alpha 0.1, epsilon : 0.001","[array([86.66764534]), array([[ 2.89587089],
       [-0.04969533],
       [-0.03034362],
       ...,
       [-1.16458887],
       [-0.97001101],
       [-1.16976053]]), array([15.09508919])]"
"Epochs : 400, mini batch size : 200, alpha 0.1, epsilon : 0.001","[array([91.86030094]), array([[ 2.58677825],
       [-0.0230775 ],
       [-0.01872752],
       ...,
       [-1.11111412],
       [-0.84170985],
       [-1.06081446]]), array([8.89282976])]"
"Epochs : 500, mini batch size : 10, alpha 0.1, epsilon : 0.001","[array([77.84756418]), array([[ 2.93919556],
       [ 0.07307551],
       [ 0.08843633],
       ...,
       [-0.62147536],
       [-1.1836727 ],
       [-1.12561407]]), array([38.20720059])]"
"Epochs : 500, mini batch size : 50, alpha 0.1, epsilon : 0.001","[array([78.06162344]), array([[ 3.43586914],
       [-0.2190861 ],
       [-0.13348944],
       ...,
       [-1.17909439],
       [-1.21728296],
       [-1.45050519]]), array([26.34881135])]"
"Epochs : 500, mini batch size : 100, alpha 0.1, epsilon : 0.001","[array([82.70624365]), array([[ 3.02382057],
       [-0.08095508],
       [-0.0517421 ],
       ...,
       [-1.1797295 ],
       [-1.02567556],
       [-1.22828925]]), array([17.61075748])]"
"Epochs : 500, mini batch size : 200, alpha 0.1, epsilon : 0.001","[array([88.9154976]), array([[ 2.68173391],
       [-0.01956471],
       [-0.01192727],
       ...,
       [-1.13138365],
       [-0.87861817],
       [-1.08876384]]), array([10.61976725])]"
"Epochs : 100, mini batch size : 10, alpha 0.2, epsilon : 0.001","[array([77.89121929]), array([[ 2.37040834],
       [ 0.17548649],
       [ 0.11207686],
       ...,
       [-0.81433475],
       [-0.92001013],
       [-0.99245011]]), array([26.80267973])]"
"Epochs : 100, mini batch size : 50, alpha 0.2, epsilon : 0.001","[array([91.17282484]), array([[ 2.53054924],
       [-0.0122126 ],
       [-0.01021304],
       ...,
       [-1.08410378],
       [-0.82590511],
       [-1.03832944]]), array([8.90887532])]"
"Epochs : 100, mini batch size : 100, alpha 0.2, epsilon : 0.001","[array([98.45495066]), array([[ 2.31279171],
       [-0.09772171],
       [-0.08965687],
       ...,
       [-1.03876836],
       [-0.7450348 ],
       [-0.99602679]]), array([4.96902699])]"
"Epochs : 100, mini batch size : 200, alpha 0.2, epsilon : 0.001","[array([106.35469503]), array([[ 2.08442933],
       [-0.24183474],
       [-0.21004518],
       ...,
       [-0.98175541],
       [-0.67723524],
       [-0.95727533]]), array([2.67291786])]"
"Epochs : 200, mini batch size : 10, alpha 0.2, epsilon : 0.001","[array([74.98463343]), array([[ 2.24550681],
       [ 0.28185731],
       [ 0.1840477 ],
       ...,
       [-0.65594887],
       [-0.93954549],
       [-1.00863808]]), array([34.60103645])]"
"Epochs : 200, mini batch size : 50, alpha 0.2, epsilon : 0.001","[array([84.98473129]), array([[ 2.80424908],
       [-0.02309893],
       [-0.00985084],
       ...,
       [-1.12518166],
       [-0.94462216],
       [-1.13119828]]), array([15.12811913])]"
"Epochs : 200, mini batch size : 100, alpha 0.2, epsilon : 0.001","[array([91.52761756]), array([[ 2.56329785],
       [-0.01862677],
       [-0.01569295],
       ...,
       [-1.10094008],
       [-0.8349359 ],
       [-1.05007627]]), array([8.9003248])]"
"Epochs : 200, mini batch size : 200, alpha 0.2, epsilon : 0.001","[array([98.30029059]), array([[ 2.32106083],
       [-0.09886779],
       [-0.09039518],
       ...,
       [-1.0426373 ],
       [-0.74835038],
       [-1.00073144]]), array([4.96791794])]"
"Epochs : 400, mini batch size : 10, alpha 0.2, epsilon : 0.001","[array([87.57503457]), array([[ 2.11206756],
       [ 0.38469222],
       [ 0.2455708 ],
       ...,
       [-0.54510128],
       [-0.91564115],
       [-0.97236881]]), array([38.15420398])]"
"Epochs : 400, mini batch size : 50, alpha 0.2, epsilon : 0.001","[array([83.64952979]), array([[ 3.1562106 ],
       [-0.11768192],
       [-0.0759421 ],
       ...,
       [-1.13313418],
       [-1.11372068],
       [-1.31439505]]), array([23.52947502])]"
"Epochs : 400, mini batch size : 100, alpha 0.2, epsilon : 0.001","[array([86.66653075]), array([[ 2.8656148 ],
       [-0.0403427 ],
       [-0.02415022],
       ...,
       [-1.15084206],
       [-0.96085539],
       [-1.15615264]]), array([15.10378022])]"
"Epochs : 400, mini batch size : 200, alpha 0.2, epsilon : 0.001","[array([91.93917958]), array([[ 2.57920122],
       [-0.02121567],
       [-0.01738555],
       ...,
       [-1.10736414],
       [-0.83925499],
       [-1.05724283]]), array([8.8942816])]"
"Epochs : 500, mini batch size : 10, alpha 0.2, epsilon : 0.001","[array([77.27795258]), array([[ 2.0884479 ],
       [ 0.3991698 ],
       [ 0.25498161],
       ...,
       [-0.54251788],
       [-0.91621336],
       [-0.94193876]]), array([38.54107905])]"
"Epochs : 500, mini batch size : 50, alpha 0.2, epsilon : 0.001","[array([77.82924864]), array([[ 3.28621134],
       [-0.15818963],
       [-0.0969017 ],
       ...,
       [-1.12423524],
       [-1.1749167 ],
       [-1.38565145]]), array([26.40469029])]"
"Epochs : 500, mini batch size : 100, alpha 0.2, epsilon : 0.001","[array([82.70427651]), array([[ 2.98580863],
       [-0.06823664],
       [-0.04349847],
       ...,
       [-1.16316053],
       [-1.01441579],
       [-1.21136509]]), array([17.622639])]"
"Epochs : 500, mini batch size : 200, alpha 0.2, epsilon : 0.001","[array([88.98992007]), array([[ 2.67224375],
       [-0.01707811],
       [-0.01019018],
       ...,
       [-1.12678805],
       [-0.87560962],
       [-1.08436549]]), array([10.62187284])]"
"Epochs : 100, mini batch size : 10, alpha 0.4, epsilon : 0.001","[array([77.23322453]), array([[ 1.72979337],
       [ 0.37636895],
       [ 0.24136009],
       ...,
       [-0.581186  ],
       [-0.71215946],
       [-0.7154953 ]]), array([27.20341401])]"
"Epochs : 100, mini batch size : 50, alpha 0.4, epsilon : 0.001","[array([91.14663106]), array([[ 2.47227744e+00],
       [ 2.02078941e-03],
       [ 5.69723573e-05],
       ...,
       [-1.05528838e+00],
       [-8.06970233e-01],
       [-1.01087384e+00]]), array([8.92032196])]"
"Epochs : 100, mini batch size : 100, alpha 0.4, epsilon : 0.001","[array([98.60014045]), array([[ 2.29798949],
       [-0.09433722],
       [-0.08696792],
       ...,
       [-1.03110808],
       [-0.73997392],
       [-0.9886648 ]]), array([4.97075395])]"
"Epochs : 100, mini batch size : 200, alpha 0.4, epsilon : 0.001","[array([106.55635233]), array([[ 2.08084422],
       [-0.24090111],
       [-0.20926338],
       ...,
       [-0.9798373 ],
       [-0.67596417],
       [-0.9554013 ]]), array([2.67318943])]"
"Epochs : 200, mini batch size : 10, alpha 0.4, epsilon : 0.001","[array([74.51795989]), array([[ 1.55107299],
       [ 0.48246057],
       [ 0.30782172],
       ...,
       [-0.47451994],
       [-0.6953995 ],
       [-0.72744572]]), array([35.13437498])]"
"Epochs : 200, mini batch size : 50, alpha 0.4, epsilon : 0.001","[array([84.80469984]), array([[ 2.69080058],
       [ 0.01147542],
       [ 0.013057  ],
       ...,
       [-1.07369425],
       [-0.91007366],
       [-1.08014129]]), array([15.16203789])]"
"Epochs : 200, mini batch size : 100, alpha 0.4, epsilon : 0.001","[array([91.61081469]), array([[ 2.53349411],
       [-0.01132314],
       [-0.01042235],
       ...,
       [-1.08618573],
       [-0.82527645],
       [-1.03603533]]), array([8.90610745])]"
"Epochs : 200, mini batch size : 200, alpha 0.4, epsilon : 0.001","[array([98.48458845]), array([[ 2.31361569],
       [-0.09716648],
       [-0.08904394],
       ...,
       [-1.03878467],
       [-0.7458044 ],
       [-0.99702681]]), array([4.96878357])]"
"Epochs : 400, mini batch size : 10, alpha 0.4, epsilon : 0.001","[array([88.39369354]), array([[ 1.48777559],
       [ 0.530398  ],
       [ 0.34057356],
       ...,
       [-0.44344904],
       [-0.67459596],
       [-0.73973832]]), array([38.50965581])]"
"Epochs : 400, mini batch size : 50, alpha 0.4, epsilon : 0.001","[array([83.19969952]), array([[ 2.93665212],
       [-0.03451916],
       [-0.02430199],
       ...,
       [-1.04756262],
       [-1.05005867],
       [-1.21826328]]), array([23.61288004])]"
"Epochs : 400, mini batch size : 100, alpha 0.4, epsilon : 0.001","[array([86.6571304]), array([[ 2.80637241],
       [-0.02213305],
       [-0.01208026],
       ...,
       [-1.12393822],
       [-0.94289867],
       [-1.12952196]]), array([15.12102838])]"
